units,dropouts,batch_size,acc
32,0,16,60.35%
32,0,32,59.76%
32,0,64,59.57%
32,0.25,16,60.74%
32,0.25,32,60.36%
32,0.25,64,59.52%
32,0.5,16,59.36%
32,0.5,32,59.80%
32,0.5,64,59.44%
64,0,16,60.01%
64,0,32,59.74%
64,0,64,59.97%
64,0.25,16,60.82%
64,0.25,32,60.30%
64,0.25,64,60.40%
64,0.5,16,60.76%
64,0.5,32,60.68%
64,0.5,64,60.55%
128,0,16,60.45%
128,0,32,59.57%
128,0,64,59.88%
128,0.25,16,61.22%
128,0.25,32,60.92%
128,0.25,64,60.56%
128,0.5,16,60.90%
128,0.5,32,60.42%
128,0.5,64,60.84%
256,0,16,60.11%
256,0,32,60.05%
256,0,64,59.91%
256,0.25,16,61.04%
256,0.25,32,60.39%
256,0.25,64,60.27%
256,0.5,16,60.49%
256,0.5,32,60.87%
256,0.5,64,60.59%